code,description
LAB//50903//Ratio,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma
LAB//51000//mg/dL,Triglyceride [Mass/volume] in Serum or Plasma
LAB//50983//mEq/L,Sodium [Moles/volume] in Serum or Plasma
LAB//50924//ng/mL,Ferritin [Mass/volume] in Serum or Plasma
LAB//50912//mg/dL,Creatinine [Mass/volume] in Serum or Plasma
LAB//50907//mg/dL,Cholesterol [Mass/volume] in Serum or Plasma
LAB//50862//g/dL,Albumin [Mass/volume] in Serum or Plasma
LAB//50905//mg/dL,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation
LAB//50904//mg/dL,Cholesterol in HDL [Mass/volume] in Serum or Plasma
LAB//50882//mEq/L,Bicarbonate [Moles/volume] in Serum or Plasma
LAB//50970//mg/dL,Phosphate [Mass/volume] in Serum or Plasma
LAB//50902//mEq/L,Chloride [Moles/volume] in Serum or Plasma
LAB//50878//IU/L,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma
LAB//50863//IU/L,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma
LAB//50920//UNK,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)"
LAB//50995//ng/dL,Thyroxine (T4) free [Mass/volume] in Serum or Plasma
LAB//50971//mEq/L,Potassium [Moles/volume] in Serum or Plasma
LAB//51006//mg/dL,Urea nitrogen [Mass/volume] in Serum or Plasma
LAB//50943//UNK,
LAB//50937//UNK,
LAB//50942//UNK,
LAB//50931//mg/dL,Glucose [Mass/volume] in Serum or Plasma
Weight (Lbs),
Blood Pressure,
ED_REGISTRATION,
TRANSFER_TO//ED//Emergency Department,
HOSPITAL_ADMISSION//URGENT//TRANSFER FROM HOSPITAL,
LAB//50919//UNK,EDTA Hold
LAB//50933//UNK,Green Top Hold (plasma)
LAB//51275//sec,aPTT in Platelet poor plasma by Coagulation assay
LAB//50956//IU/L,Lipase [Enzymatic activity/volume] in Serum or Plasma
LAB//51214//mg/dL,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay
ED_OUT,
TRANSFER_TO//admit//Transplant,
Height (Inches),
BMI (kg/m2),
MEDICATION//START//Sodium Chloride 0.9%  Flush,
MEDICATION//START//Heparin,
MEDICATION//START//Influenza Vaccine Quadrivalent,
PROCEDURE//ICD//9//5491,Percutaneous abdominal drainage
MEDICATION//Sodium Chloride 0.9%  Flush//Flushed,
MEDICATION//Potassium Chloride//Administered,
MEDICATION//START//Raltegravir,
MEDICATION//START//Potassium Chloride,
MEDICATION//START//Emtricitabine-Tenofovir (Truvada),
MEDICATION//START//Furosemide,
MEDICATION//START//Nicotine Patch,
MEDICATION//START//Spironolactone,
MEDICATION//START//Albuterol Inhaler,
MEDICATION//START//Acetaminophen,
MEDICATION//STOP//Potassium Chloride,
MEDICATION//START//Ipratropium Bromide Neb,
MEDICATION//Albuterol Inhaler//Administered,
MEDICATION//Ipratropium Bromide Neb//Administered,
MEDICATION//Heparin//Administered,
MEDICATION//Emtricitabine-Tenofovir (Truvada)//Administered,
MEDICATION//Raltegravir//Administered,
MEDICATION//Furosemide//Not Given,
MEDICATION//Spironolactone//Not Given,
MEDICATION//Nicotine Patch//Not Applied,
MEDICATION//STOP//Furosemide,
MEDICATION//STOP//Spironolactone,
LAB//51125//%,Polymorphonuclear cells/100 leukocytes in Peritoneal fluid
LAB//51120//%,Monocytes/100 leukocytes in Peritoneal fluid
LAB//51117//%,Macrophages/100 leukocytes in Peritoneal fluid by Manual count
LAB//51116//%,Lymphocytes/100 leukocytes in Peritoneal fluid
LAB//51114//%,Eosinophils/100 leukocytes in Peritoneal fluid
LAB//51118//%,Mesothelial cells/100 leukocytes in Peritoneal fluid
LAB//52065//#/uL,Nucleated cells [#/volume] in Peritoneal fluid by Manual count
LAB//51127//#/uL,Erythrocytes [#/volume] in Peritoneal fluid
LAB//50835//g/dL,Albumin [Mass/volume] in Peritoneal fluid
LAB//50843//IU/L,Lactate dehydrogenase [Enzymatic activity/volume] in Peritoneal fluid
LAB//50849//g/dL,Protein [Mass/volume] in Peritoneal fluid
MEDICATION//Furosemide//Administered,
MEDICATION//Spironolactone//Administered,
MEDICATION//Ipratropium Bromide Neb//Not Given,
MEDICATION//Influenza Vaccine Quadrivalent//Not Given,
HOSPITAL_DISCHARGE//HOME,
DIAGNOSIS//ICD//9//496,"Chronic airway obstruction, not elsewhere classified"
DIAGNOSIS//ICD//9//5715,Cirrhosis of liver without mention of alcohol
DIAGNOSIS//ICD//9//5723,Portal hypertension
DIAGNOSIS//ICD//9//V1582,Personal history of tobacco use
DIAGNOSIS//ICD//9//78959,Other ascites
DIAGNOSIS//ICD//9//07070,Unspecified viral hepatitis C without hepatic coma
DIAGNOSIS//ICD//9//30981,Posttraumatic stress disorder
DIAGNOSIS//ICD//9//29680,"Bipolar disorder, unspecified"
DRG//APR//283//OTHER DISORDERS OF THE LIVER,
"DRG//HCFA//442//DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC",
TRANSFER_TO//discharge//UNK,
MEDICATION//STOP//Raltegravir,
MEDICATION//STOP//Ipratropium Bromide Neb,
MEDICATION//STOP//Sodium Chloride 0.9%  Flush,
MEDICATION//STOP//Heparin,
MEDICATION//STOP//Emtricitabine-Tenofovir (Truvada),
MEDICATION//STOP//Nicotine Patch,
MEDICATION//STOP//Influenza Vaccine Quadrivalent,
MEDICATION//STOP//Albuterol Inhaler,
MEDICATION//STOP//Acetaminophen,
LAB//50887//UNK,Blue Top Hold
LAB//50955//UNK,Light Green Top Hold
LAB//50813//mmol/L,Lactate [Moles/volume] in Blood
MEDICATION//Ondansetron//Administered,
MEDICATION//Morphine Sulfate//Administered,
HOSPITAL_ADMISSION//EW EMER.//EMERGENCY ROOM,
LAB//51512//UNK,
LAB//51501//#/hpf,Transitional cells [#/area] in Urine sediment by Microscopy high power field
LAB//51493//#/hpf,Erythrocytes [#/area] in Urine sediment by Microscopy high power field
LAB//51516//#/hpf,Leukocytes [#/area] in Urine sediment by Microscopy high power field
LAB//51476//#/hpf,Epithelial cells [#/area] in Urine sediment by Microscopy high power field
LAB//51463//UNK,
LAB//51519//UNK,
LAB//51085//+/-,
LAB//50842//mg/dL,Glucose [Mass/volume] in Peritoneal fluid
LAB//51123//%,Leukocytes other/100 leukocytes in Peritoneal fluid
MEDICATION//Rifaximin//Administered,
MEDICATION//START//Calcium Carbonate,
MEDICATION//START//Rifaximin,
MEDICATION//START//Lactulose,
MEDICATION//START//Sulfameth/Trimethoprim DS,
MEDICATION//START//Tiotropium Bromide,
MEDICATION//Calcium Carbonate//Administered,
MEDICATION//Sulfameth/Trimethoprim DS//Administered,
MEDICATION//Tiotropium Bromide//Administered,
MEDICATION//Heparin//Not Given,
MEDICATION//Lactulose//Administered,
MEDICATION//Acetaminophen//Administered,
MEDICATION//Lactulose//Not Given,
MEDICATION//Albumin 25% (12.5g / 50mL)//Administered,
MEDICATION//Albumin 25% (12.5g / 50mL)//Partial Administered,
MEDICATION//START//Albumin 25% (12.5g / 50mL),
DIAGNOSIS//ICD//9//2761,Hyposmolality and/or hyponatremia
DIAGNOSIS//ICD//9//V08,Asymptomatic human immunodeficiency virus [HIV] infection status
DIAGNOSIS//ICD//9//2875,"Thrombocytopenia, unspecified"
DIAGNOSIS//ICD//9//3051,Tobacco use disorder
DIAGNOSIS//ICD//9//07071,Unspecified viral hepatitis C with hepatic coma
DRG//APR//279//HEPATIC COMA & OTHER MAJOR ACUTE LIVER DISORDERS,
MEDICATION//STOP//Calcium Carbonate,
MEDICATION//STOP//Rifaximin,
MEDICATION//STOP//Lactulose,
MEDICATION//STOP//Albumin 25% (12.5g / 50mL),
MEDICATION//STOP//Sulfameth/Trimethoprim DS,
MEDICATION//STOP//Tiotropium Bromide,
LAB//50909//ug/dL,Cortisol [Mass/volume] in Serum or Plasma
LAB//51103//UNK,Uhold
MEDICATION//CeftriaXONE//Administered,
MEDICATION//Insulin//Administered,
MEDICATION//Dextrose 50%//Administered,
MEDICATION//Calcium Gluconate//Administered,
MEDICATION//Albumin 5% (25g / 500mL)//Administered,
MEDICATION//Sodium Polystyrene Sulfonate//Hold Dose,
LAB//226730//cm,
LAB//226707//Inch,
LAB//226512//kg,
LAB//50822//mEq/L,Potassium [Moles/volume] in Blood
LAB//227464//mEq/L,
TRANSFER_TO//admit//Medical Intensive Care Unit (MICU),
ICU_ADMISSION//Medical Intensive Care Unit (MICU),
LAB//223761//°F,
LAB//224642//UNK,
LAB//224650//UNK,
LAB//220048//UNK,
LAB//220181//mmHg,
LAB//220180//mmHg,
LAB//220179//mmHg,
LAB//220045//bpm,
LAB//220210//insp/min,
LAB//220277//%,
LAB//223795//UNK,
LAB//223791//UNK,
LAB//223784//UNK,
LAB//223781//UNK,
LAB//223782//UNK,
LAB//223796//UNK,
LAB//223794//UNK,
LAB//223783//UNK,
LAB//224162//insp/min,
LAB//220047//bpm,
LAB//223770//%,
LAB//223751//mmHg,
LAB//226253//%,
LAB//224168//UNK,
LAB//223769//%,
LAB//224161//insp/min,
LAB//228305//UNK,
LAB//220046//bpm,
LAB//227240//UNK,
LAB//223752//mmHg,
LAB//224641//UNK,
LAB//227969//UNK,
LAB//223834//L/min,
LAB//226732//UNK,
LAB//227944//UNK,
LAB//224080//UNK,
LAB//224023//UNK,
LAB//227346//UNK,
LAB//224076//UNK,
LAB//224073//UNK,
LAB//224082//UNK,
LAB//227341//UNK,
LAB//227349//UNK,
LAB//224072//UNK,
LAB//228879//UNK,
LAB//224086//UNK,
LAB//227342//UNK,
LAB//224084//UNK,
LAB//227345//UNK,
LAB//224024//UNK,
LAB//227945//UNK,
LAB//227343//UNK,
LAB//228880//UNK,
LAB//224093//UNK,
LAB//224077//UNK,
LAB//228868//UNK,
LAB//224079//UNK,
LAB//227344//UNK,
LAB//224089//UNK,
LAB//223758//UNK,
LAB//224087//UNK,
LAB//225054//UNK,
LAB//224088//UNK,
LAB//226531//UNK,
LAB//224640//UNK,
LAB//227368//UNK,
LAB//228100//UNK,
LAB//227367//UNK,
LAB//228099//UNK,
LAB//226138//UNK,
LAB//226137//UNK,
PROCEDURE//START//224275,Peripheral venous cannula insertion
PROCEDURE//START//224277,Peripheral venous cannula insertion
PROCEDURE//START//225966,Taking nasal swab
PROCEDURE//END//225966,Taking nasal swab
LAB//228411//UNK,
LAB//223901//UNK,
LAB//228410//UNK,
LAB//228409//UNK,
LAB//228396//UNK,
LAB//220739//UNK,
LAB//228414//UNK,
LAB//228394//UNK,
LAB//228395//UNK,
LAB//228398//UNK,
LAB//228397//UNK,
LAB//228412//UNK,
LAB//228399//UNK,
LAB//223900//UNK,
LAB//224026//UNK,
LAB//224055//UNK,
LAB//224054//UNK,
LAB//224028//UNK,
LAB//224015//UNK,
LAB//223990//UNK,
LAB//224027//UNK,
LAB//224860//UNK,
LAB//223991//UNK,
LAB//223985//UNK,
LAB//224057//UNK,
LAB//224056//UNK,
LAB//224058//UNK,
LAB//224031//UNK,
LAB//224059//UNK,
LAB//224003//UNK,
LAB//224001//UNK,
LAB//224767//UNK,
LAB//223976//UNK,
LAB//224879//UNK,
LAB//223983//UNK,
LAB//224004//UNK,
LAB//223982//UNK,
LAB//224769//UNK,
LAB//223979//UNK,
LAB//224773//UNK,
LAB//224000//UNK,
LAB//223999//UNK,
LAB//223934//UNK,
LAB//224771//UNK,
LAB//223943//UNK,
MEDICATION//START//Docusate Sodium (Liquid),
MEDICATION//START//Bisacodyl,
MEDICATION//START//Senna,
SUBJECT_FLUID_OUTPUT//226560//ml,
LAB//223986//UNK,
LAB//223948//UNK,
LAB//223988//UNK,
LAB//223936//UNK,
LAB//224011//UNK,
LAB//224794//UNK,
LAB//228973//UNK,
LAB//228888//UNK,
LAB//228890//UNK,
LAB//229088//UNK,
LAB//229107//UNK,
LAB//229106//UNK,
LAB//229089//UNK,
MEDICATION//START//Fluticasone Propionate 110mcg,
MEDICATION//START//Albuterol 0.083% Neb Soln,
INFUSION_START//226452,
INFUSION_START//220862,
SUBJECT_WEIGHT_AT_INFUSION//KG,
INFUSION_END//226452,
LAB//227570//UNK,
INFUSION_END//220862,
LAB//223792//UNK,
LAB//228298//UNK,
LAB//228336//UNK,
LAB//228299//UNK,
LAB//228334//UNK,
LAB//228332//UNK,
LAB//228337//UNK,
LAB//228096//UNK,
LAB//228012//UNK,
LAB//228011//UNK,
LAB//228014//UNK,
LAB//228013//UNK,
LAB//224862//UNK,
LAB//220645//mEq/L,
LAB//225625//mg/dL,
LAB//227443//mEq/L,
LAB//227442//mEq/L,
LAB//220615//mg/dL,
LAB//220635//mg/dL,
LAB//225624//mg/dL,
LAB//220621//mg/dL,
LAB//227073//mEq/L,
LAB//225677//mg/dL,
LAB//220602//mEq/L,
MEDICATION//START//TraMADOL (Ultram),
MEDICATION//STOP//TraMADOL (Ultram),
PROCEDURE//END//224275,Peripheral venous cannula insertion
PROCEDURE//END//224277,Peripheral venous cannula insertion
TRANSFER_TO//transfer//Transplant,
ICU_DISCHARGE//Medical Intensive Care Unit (MICU),
MEDICATION//TraMADOL (Ultram)//Administered,
LAB//50954//IU/L,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma
MEDICATION//Docusate Sodium (Liquid)//Not Given,
MEDICATION//Bisacodyl//Not Given,
MEDICATION//Tiotropium Bromide//Not Given,
MEDICATION//Fluticasone Propionate 110mcg//Administered,
MEDICATION//STOP//Docusate Sodium (Liquid),
MEDICATION//STOP//Bisacodyl,
MEDICATION//STOP//Senna,
MEDICATION//STOP//Albuterol 0.083% Neb Soln,
MEDICATION//Sodium Chloride 0.9%  Flush//Not Flushed,
DIAGNOSIS//ICD//9//7994,Cachexia
DIAGNOSIS//ICD//9//V462,"Other dependence on machines, supplemental oxygen"
DIAGNOSIS//ICD//9//45829,Other iatrogenic hypotension
DIAGNOSIS//ICD//9//V4986,Do not resuscitate status
DIAGNOSIS//ICD//9//07044,Chronic hepatitis C with hepatic coma
DIAGNOSIS//ICD//9//2767,Hyperpotassemia
DRG//APR//207//OTHER CIRCULATORY SYSTEM DIAGNOSES,
DRG//HCFA//312//SYNCOPE & COLLAPSE,
MEDICATION//STOP//Fluticasone Propionate 110mcg,
LAB//50979//UNK,Red Top Hold
MEDICATION//Aluminum-Magnesium Hydrox.-Simethicone//Administered,
MEDICATION//Donnatal//Administered,
MEDICATION//START//Sodium Polystyrene Sulfonate,
MEDICATION//START//Calcium Gluconate,
MEDICATION//START//Insulin (Regular) for Hyperkalemia,
MEDICATION//START//Dextrose 50%,
MEDICATION//Sodium Polystyrene Sulfonate//Not Given,
MEDICATION//Insulin (Regular) for Hyperkalemia//Administered,
MEDICATION//STOP//Sodium Polystyrene Sulfonate,
MEDICATION//STOP//Calcium Gluconate,
MEDICATION//STOP//Insulin (Regular) for Hyperkalemia,
MEDICATION//STOP//Dextrose 50%,
MEDICATION//START//Morphine Sulfate,
MEDICATION//Sodium Polystyrene Sulfonate//Administered,
MEDICATION//START//TraZODone,
MEDICATION//START//Zolpidem Tartrate,
MEDICATION//Zolpidem Tartrate//Administered,
HOSPITAL_DISCHARGE//HOSPICE,
DIAGNOSIS//ICD//9//78791,Diarrhea
DIAGNOSIS//ICD//9//07054,Chronic hepatitis C without mention of hepatic coma
MEDICATION//STOP//Morphine Sulfate,
MEDICATION//STOP//Zolpidem Tartrate,
MEDICATION//STOP//TraZODone,
MEDS_DEATH,
LAB//50889//mg/L,C reactive protein [Mass/volume] in Serum or Plasma
LAB//51288//mm/hr,Erythrocyte sedimentation rate by Westergren method
PROCEDURE//ICD//9//0331,Spinal tap
MEDICATION//START//LeVETiracetam,
MEDICATION//START//Docusate Sodium,
MEDICATION//START//Lidocaine 1%,
MEDICATION//START//OxycoDONE (Immediate Release) ,
MEDICATION//START//Lorazepam,
TRANSFER_TO//admit//Medicine,
MEDICATION//START//UNK,
LAB//52286//#/uL,Nucleated cells [#/volume] in Cerebral spinal fluid
LAB//52285//#/uL,Erythrocytes [#/volume] in Cerebral spinal fluid
LAB//51790//mg/dL,Glucose [Mass/volume] in Cerebral spinal fluid
LAB//51802//mg/dL,Protein [Mass/volume] in Cerebral spinal fluid
LAB//52281//%,Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid
LAB//52264//%,
LAB//52272//%,Monocytes/100 leukocytes in Cerebral spinal fluid
MEDICATION//STOP//LeVETiracetam,
MEDICATION//STOP//UNK,
MEDICATION//STOP//Lidocaine 1%,
MEDICATION//STOP//Lorazepam,
PROCEDURE//ICD//9//0139,Other incision of brain
MEDICATION//START//Meropenem,
MEDICATION//START//HydrALAzine,
MEDICATION//START//Vancomycin,
MEDICATION//STOP//Meropenem,
TRANSFER_TO//transfer//Surgical Intensive Care Unit (SICU),
ICU_ADMISSION//Surgical Intensive Care Unit (SICU),
LAB//224733//UNK,
LAB//228400//UNK,
LAB//227121//UNK,
LAB//227288//UNK,
LAB//228401//UNK,
LAB//223907//UNK,
INFUSION_START//225158,
INFUSION_START//221828,hydralazine Injection
INFUSION_END//221828,hydralazine Injection
LAB//223989//UNK,
LAB//224409//UNK,
LAB//223992//UNK,
LAB//223951//UNK,
LAB//223987//UNK,
LAB//224040//UNK,
LAB//224848//UNK,
LAB//224850//UNK,
LAB//224041//UNK,
LAB//223947//UNK,
LAB//224876//UNK,
LAB//224308//UNK,
LAB//223935//UNK,
LAB//228571//UNK,
LAB//224005//UNK,
LAB//228594//UNK,
LAB//228559//UNK,
LAB//224016//UNK,
LAB//227968//UNK,
INFUSION_START//225798,"vancomycin Injection
vancomycin Oral Solution"
INFUSION_START//220949,
INFUSION_END//225798,"vancomycin Injection
vancomycin Oral Solution"
INFUSION_END//220949,
INFUSION_START//225154,morphine Injection
INFUSION_END//225154,morphine Injection
INFUSION_START//225883,meropenem Injection
INFUSION_END//225883,meropenem Injection
INFUSION_END//225158,
INFUSION_START//226089,
INFUSION_END//226089,
LAB//220545//%,
LAB//227467//UNK,
LAB//227465//sec,
LAB//220546//K/uL,
LAB//227466//sec,
LAB//220228//g/dl,
LAB//227457//K/uL,
LAB//220001//UNK,
MEDICATION//START//Ondansetron,
INFUSION_START//225975,heparin Injection
INFUSION_END//225975,heparin Injection
SUBJECT_FLUID_OUTPUT//226571//ml,
LAB//226185//UNK,
LAB//225280//UNK,
LAB//228937//UNK,
LAB//228933//UNK,
LAB//229109//UNK,
LAB//229108//UNK,
MEDICATION//STOP//HydrALAzine,
PROCEDURE//START//221214,Computerized axial tomography
PROCEDURE//END//221214,Computerized axial tomography
MEDICATION//START//Heparin Flush (10 units/ml),
MEDICATION//START//Acetaminophen IV,
LAB//223905//UNK,
LAB//228529//UNK,
LAB//224758//UNK,
LAB//224259//UNK,
LAB//224759//UNK,
LAB//228496//UNK,
LAB//224847//UNK,
LAB//228516//UNK,
LAB//224565//UNK,
LAB//224762//UNK,
LAB//223904//UNK,
LAB//228416//UNK,
LAB//228415//UNK,
LAB//228402//UNK,
LAB//223924//UNK,
LAB//228016//UNK,
LAB//226139//UNK,
LAB//228101//UNK,
LAB//228015//UNK,
LAB//227369//UNK,
PROCEDURE//START//224274,Peripheral venous cannula insertion
PROCEDURE//START//228129,Liaising with family
PROCEDURE//END//228129,Liaising with family
INFUSION_START//228315,acetaminophen Injection
INFUSION_END//228315,acetaminophen Injection
LAB//228393//UNK,
LAB//226168//UNK,
LAB//225233//UNK,
LAB//225188//UNK,
PROCEDURE//END//224274,Peripheral venous cannula insertion
TRANSFER_TO//transfer//Neurology,
ICU_DISCHARGE//Surgical Intensive Care Unit (SICU),
MEDICATION//STOP//Acetaminophen IV,
MEDICATION//STOP//Heparin Flush (10 units/ml),
PROCEDURE//ICD//9//3897,Central venous catheter placement with guidance
LAB//51009//ug/mL,Vancomycin [Mass/volume] in Serum or Plasma
MEDICATION//STOP//Vancomycin,
LAB//50947//U,I
LAB//50934//U,H
LAB//51678//U,L
MEDICATION//START//MetRONIDAZOLE (FLagyl),
MEDICATION//START//CeftriaXONE,
HOSPITAL_DISCHARGE//HOME HEALTH CARE,
DIAGNOSIS//ICD//9//V168,Family history of other specified malignant neoplasm
DIAGNOSIS//ICD//9//V161,"Family history of malignant neoplasm of trachea, bronchus, and lung"
DIAGNOSIS//ICD//9//04109,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
DIAGNOSIS//ICD//9//3485,Cerebral edema
DIAGNOSIS//ICD//9//4019,Unspecified essential hypertension
DIAGNOSIS//ICD//9//3484,Compression of brain
DIAGNOSIS//ICD//9//3240,Intracranial abscess
DIAGNOSIS//ICD//9//340,Multiple sclerosis
DIAGNOSIS//ICD//9//5180,Pulmonary collapse
DRG//APR//21//CRANIOTOMY EXCEPT FOR TRAUMA,
DRG//HCFA//23//CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,
MEDICATION//STOP//Docusate Sodium,
MEDICATION//STOP//MetRONIDAZOLE (FLagyl),
MEDICATION//STOP//CeftriaXONE,
MEDICATION//STOP//OxycoDONE (Immediate Release) ,
MEDICATION//STOP//Ondansetron,
HOSPITAL_ADMISSION//DIRECT EMER.//PHYSICIAN REFERRAL,
TRANSFER_TO//admit//Neurology,
MEDICATION//START//Influenza Virus Vaccine,
LAB//51107//UNK,"Urine tube, held"
LAB//228714//UNK,
LAB//224188//UNK,
LAB//227358//UNK,
PROCEDURE//START//224264,Insertion of peripherally inserted central catheter
LAB//224639//kg,
LAB//225097//UNK,
LAB//225110//UNK,
LAB//228648//UNK,
LAB//225092//UNK,
LAB//225118//UNK,
LAB//225101//UNK,
LAB//225120//UNK,
LAB//225090//UNK,
LAB//225124//UNK,
LAB//225082//UNK,
LAB//225076//UNK,
LAB//225131//UNK,
LAB//228236//UNK,
LAB//225106//UNK,
LAB//225175//UNK,
LAB//225087//UNK,
LAB//225094//UNK,
LAB//225813//UNK,
LAB//225078//UNK,
LAB//225099//UNK,
LAB//227687//UNK,
LAB//225103//UNK,
LAB//225072//UNK,
LAB//228649//UNK,
LAB//226180//UNK,
LAB//225113//UNK,
LAB//225122//UNK,
LAB//225074//UNK,
LAB//225133//UNK,
LAB//224372//UNK,
LAB//224373//UNK,
"MEDICATION//START//Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line )",
MEDICATION//START//Pantoprazole,
LAB//225664//UNK,
LAB//228691//UNK,
LAB//229027//UNK,
LAB//228698//UNK,
LAB//228713//UNK,
LAB//228687//UNK,
LAB//228709//UNK,
LAB//228704//UNK,
LAB//228699//UNK,
MEDICATION//START//Magnesium Sulfate,
INFUSION_START//228316,levetiracetam Injection [Keppra]
INFUSION_END//228316,levetiracetam Injection [Keppra]
INFUSION_START//222011,magnesium sulfate Injection
INFUSION_START//227523,magnesium sulfate Injection
INFUSION_END//222011,magnesium sulfate Injection
INFUSION_END//227523,magnesium sulfate Injection
MEDICATION//STOP//Magnesium Sulfate,
MEDICATION//STOP//Pantoprazole,
"MEDICATION//STOP//Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line )",
PROCEDURE//END//224264,Insertion of peripherally inserted central catheter
MEDICATION//START//ertapenem,
DIAGNOSIS//ICD//9//04102,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
DIAGNOSIS//ICD//9//04184,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
MEDICATION//STOP//ertapenem,
MEDICATION//STOP//Influenza Virus Vaccine,
LAB//51001//ng/dL,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma
HCPCS//Hospital observation per hr,"Hospital observation service, per hour"
MEDICATION//START//Lisinopril,
MEDICATION//START//Levothyroxine Sodium,
LAB//51003//ng/mL,Troponin T.cardiac [Mass/volume] in Serum or Plasma
HOSPITAL_ADMISSION//EU OBSERVATION//EMERGENCY ROOM,
MEDICATION//STOP//Lisinopril,
LAB//51010//pg/mL,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma
LAB//50925//ng/mL,Folate [Mass/volume] in Serum or Plasma
HOSPITAL_DISCHARGE//UNK,
DIAGNOSIS//ICD//9//5990,"Urinary tract infection, site not specified"
DIAGNOSIS//ICD//9//7102,Sicca syndrome
DIAGNOSIS//ICD//9//2449,Unspecified acquired hypothyroidism
DIAGNOSIS//ICD//9//4241,Aortic valve disorders
DIAGNOSIS//ICD//9//2859,"Anemia, unspecified"
DIAGNOSIS//ICD//9//78720,"Dysphagia, unspecified"
DIAGNOSIS//ICD//9//7802,Syncope and collapse
MEDICATION//STOP//Levothyroxine Sodium,
LAB//50951//mg/dL,IgM [Mass/volume] in Serum or Plasma
LAB//50949//mg/dL,IgA [Mass/volume] in Serum or Plasma
LAB//50950//mg/dL,IgG [Mass/volume] in Serum or Plasma
LAB//50872//UNK,
LAB//51100//mEq/L,Sodium [Moles/volume] in Urine
LAB//51078//mEq/L,Chloride [Moles/volume] in Urine
